invoice_id,branch,city,gender,product_line,unit_price,quantity,tax_5_percents,total,month,day,year,hours,minutes,payment,cogs,gross_margin_percentage,gross_income,rating,customer_type
578-80-7669,1,0,1,5,74.97,1,3.7485,78.7185,3,16,2019,16,58,0,74.97,4.761904762,3.7485,5.6,0
449-27-2918,1,0,0,5,39.12,1,1.956,41.076,3,26,2019,11,2,1,39.12,4.761904762,1.956,9.6,1
583-72-1480,2,1,1,0,37.06,4,7.412000000000001,155.65200000000004,1,31,2019,16,24,2,148.24,4.761904762,7.412000000000001,9.7,1
503-21-4385,1,0,1,3,39.91,3,5.9865,125.7165,2,21,2019,12,40,2,119.73,4.761904762,5.9865,9.3,1
859-97-6048,2,1,1,0,84.25,2,8.425,176.925,3,26,2019,14,13,1,168.5,4.761904762,8.425,5.3,1
443-60-9639,2,1,0,4,60.87,1,3.0435,63.9135,1,24,2019,13,24,0,60.87,4.761904762,3.0435,5.5,1
573-98-8548,2,1,0,1,31.9,1,1.595,33.495,1,5,2019,12,40,2,31.9,4.761904762,1.595,9.1,1
470-32-9057,0,2,1,2,51.34,5,12.835,269.535,3,28,2019,15,31,1,256.7,4.761904762,12.835,9.1,1
471-41-2823,2,1,1,2,99.79,2,9.979,209.55900000000003,3,7,2019,20,37,2,199.58,4.761904762,9.979,8.0,0
746-19-0921,2,1,1,2,21.58,1,1.079,22.659,2,9,2019,10,2,2,21.58,4.761904762,1.079,7.2,0
235-06-8510,2,1,1,4,85.72,3,12.858,270.018,1,24,2019,20,59,2,257.16,4.761904762,12.858,5.1,1
741-73-3559,1,0,1,5,67.27,5,16.8175,353.1675,2,27,2019,17,27,0,336.35,4.761904762,16.8175,6.9,0
315-22-5665,2,1,0,4,73.56,10,36.78,772.38,2,24,2019,11,38,2,735.6,4.761904762,36.78,8.0,0
782-95-9291,0,2,1,2,92.29,5,23.0725,484.5225,2,20,2019,15,55,1,461.45,4.761904762,23.0725,9.0,1
343-87-0864,2,1,1,3,75.88,1,3.794,79.67399999999998,1,3,2019,10,30,1,75.88,4.761904762,3.794,7.1,1
450-28-2866,2,1,1,2,17.44,5,4.36,91.56,1,15,2019,19,25,0,87.2,4.761904762,4.36,8.1,1
674-15-9296,0,2,1,5,37.14,5,9.285,194.985,1,8,2019,13,5,2,185.7,4.761904762,9.285,5.0,0
271-88-8734,2,1,0,1,97.21,10,48.605,1020.705,2,8,2019,13,0,1,972.1,4.761904762,48.605,8.7,1
102-06-2002,2,1,1,5,25.25,5,6.3125,132.5625,3,20,2019,17,52,0,126.25,4.761904762,6.3125,6.1,1
365-16-4334,1,0,0,2,26.43,8,10.572,222.012,2,24,2019,14,26,2,211.44,4.761904762,10.572,8.9,0
835-16-0096,2,1,1,5,14.7,5,3.675,77.175,3,24,2019,13,48,2,73.5,4.761904762,3.675,8.5,1
458-61-0011,1,0,1,2,60.3,4,12.06,253.26,2,20,2019,18,43,0,241.2,4.761904762,12.06,5.8,0
501-61-1753,1,0,0,4,63.15,6,18.945,397.845,1,3,2019,20,24,2,378.9,4.761904762,18.945,9.8,0
651-88-7328,0,2,0,1,65.74,9,29.583,621.243,1,1,2019,13,55,0,591.66,4.761904762,29.583,7.7,0
585-11-6748,1,0,1,5,96.8,3,14.52,304.92,3,15,2019,13,5,0,290.4,4.761904762,14.52,5.3,1
287-83-1405,0,2,1,3,25.43,6,7.629,160.209,2,12,2019,19,1,2,152.58,4.761904762,7.629,7.0,0
443-82-0585,0,2,0,3,77.68,4,15.536,326.256,2,1,2019,19,54,0,310.72,4.761904762,15.536,8.4,1
162-65-8559,2,1,1,2,68.98,1,3.449,72.429,1,21,2019,20,13,0,68.98,4.761904762,3.449,4.8,1
296-11-7041,1,0,0,3,27.07,1,1.3535,28.4235,1,12,2019,20,7,1,27.07,4.761904762,1.3535,5.3,1
568-88-3448,0,2,1,3,25.0,1,1.25,26.25,3,3,2019,15,9,2,25.0,4.761904762,1.25,5.5,0
466-61-5506,1,0,0,0,90.7,6,27.21,571.41,2,26,2019,10,52,0,544.2,4.761904762,27.21,5.3,1
115-99-4379,1,0,0,1,54.73,7,19.1555,402.2655,3,14,2019,19,2,1,383.11,4.761904762,19.1555,8.5,1
210-74-9613,2,1,1,1,97.26,4,19.452,408.492,3,16,2019,15,33,2,389.04,4.761904762,19.452,6.8,0
142-63-6033,1,0,1,4,92.36,5,23.09,484.89,3,20,2019,19,17,2,461.8,4.761904762,23.09,4.9,0
756-01-7507,2,1,0,3,20.38,5,5.095,106.995,1,22,2019,18,56,0,101.9,4.761904762,5.095,6.0,0
262-47-2794,1,0,1,4,71.86,8,28.744,603.624,3,6,2019,15,7,1,574.88,4.761904762,28.744,6.2,1
735-06-4124,2,1,1,2,48.61,1,2.4305,51.0405,2,25,2019,15,31,0,48.61,4.761904762,2.4305,4.4,0
856-66-2701,0,2,1,4,53.3,3,7.995,167.895,1,25,2019,14,19,2,159.9,4.761904762,7.995,7.5,1
875-31-8302,1,0,1,5,93.38,1,4.669,98.049,1,3,2019,13,7,0,93.38,4.761904762,4.669,9.6,0
387-49-4215,1,0,0,5,48.5,3,7.275,152.775,1,8,2019,12,50,0,145.5,4.761904762,7.275,6.7,1
873-95-4984,1,0,0,3,76.9,7,26.915,565.215,2,15,2019,20,21,0,538.3,4.761904762,26.915,7.7,1
438-01-4015,1,0,0,5,49.49,4,9.898,207.858,3,21,2019,15,25,2,197.96,4.761904762,9.898,6.6,1
728-88-7867,2,1,0,4,75.53,4,15.106,317.226,3,19,2019,15,52,2,302.12,4.761904762,15.106,8.3,1
590-83-4591,1,0,1,0,87.45,6,26.235,550.935,2,17,2019,14,40,1,524.7,4.761904762,26.235,8.8,1
729-06-2010,1,0,1,3,80.47,9,36.2115,760.4415,1,6,2019,11,18,0,724.23,4.761904762,36.2115,9.2,1
181-94-6432,2,1,1,1,69.33,2,6.933,145.593,2,5,2019,19,5,2,138.66,4.761904762,6.933,9.7,1
776-68-1096,1,0,1,4,44.12,3,6.6179999999999986,138.97799999999998,3,18,2019,13,45,1,132.36,4.761904762,6.6179999999999986,7.9,0
308-39-1707,0,2,0,1,12.09,1,0.6045,12.6945,1,26,2019,18,19,1,12.09,4.761904762,0.6045,8.2,0
750-67-8428,0,2,0,3,74.69,7,26.1415,548.9715,1,5,2019,13,8,2,522.83,4.761904762,26.1415,9.1,1
428-83-5800,2,1,0,2,21.08,3,3.162,66.402,2,9,2019,10,25,0,63.24,4.761904762,3.162,7.3,1
834-45-5519,1,0,0,0,43.0,4,8.6,180.6,1,31,2019,20,48,2,172.0,4.761904762,8.6,7.6,0
541-48-8554,0,2,1,5,60.95,9,27.4275,575.9775,1,7,2019,12,8,1,548.55,4.761904762,27.4275,6.0,0
544-55-9589,1,0,0,0,21.43,10,10.715,225.015,1,28,2019,11,51,0,214.3,4.761904762,10.715,6.2,1
857-67-9057,1,0,1,0,22.95,10,11.475,240.975,2,6,2019,19,20,2,229.5,4.761904762,11.475,8.2,0
598-47-9715,2,1,1,0,84.07,4,16.814,353.094,3,7,2019,16,54,2,336.28,4.761904762,16.814,4.4,0
587-03-7455,2,1,0,1,97.79,7,34.2265,718.7565,2,16,2019,17,30,2,684.53,4.761904762,34.2265,4.9,1
733-33-4967,2,1,1,0,20.85,8,8.34,175.14,3,3,2019,19,17,0,166.8,4.761904762,8.34,6.3,0
668-90-8900,0,2,0,4,93.69,7,32.7915,688.6215,3,10,2019,18,44,1,655.83,4.761904762,32.7915,4.5,0
885-17-6250,0,2,0,3,79.74,1,3.987,83.727,3,6,2019,10,36,2,79.74,4.761904762,3.987,7.3,0
266-76-6436,2,1,0,2,38.6,3,5.79,121.59,3,28,2019,13,57,2,115.8,4.761904762,5.79,7.5,1
210-57-1719,1,0,0,3,58.24,9,26.208,550.368,2,5,2019,12,34,0,524.16,4.761904762,26.208,9.7,0
865-41-9075,0,2,1,2,11.53,7,4.0355,84.7455,1,28,2019,17,35,0,80.71,4.761904762,4.0355,8.1,0
565-80-5980,2,1,0,4,47.38,4,9.476,198.996,1,23,2019,10,25,0,189.52,4.761904762,9.476,7.1,1
500-02-2261,2,1,0,2,57.29,6,17.187,360.927,3,21,2019,17,4,2,343.74,4.761904762,17.187,5.9,0
434-83-9547,2,1,1,2,38.47,8,15.388,323.148,1,23,2019,11,51,0,307.76,4.761904762,15.388,7.7,1
477-24-6490,1,0,0,3,99.71,6,29.913,628.173,2,26,2019,16,52,2,598.26,4.761904762,29.913,7.9,0
699-88-1972,1,0,1,3,99.16,8,39.664,832.944,1,28,2019,17,47,1,793.28,4.761904762,39.664,4.2,0
382-03-4532,0,2,0,3,18.33,1,0.9165,19.2465,2,2,2019,18,50,0,18.33,4.761904762,0.9165,4.3,1
558-80-4082,2,1,1,0,27.85,7,9.7475,204.6975,3,14,2019,17,20,2,194.95,4.761904762,9.7475,6.0,0
802-70-5316,0,2,0,5,92.13,6,27.639,580.419,3,6,2019,20,34,0,552.78,4.761904762,27.639,8.3,1
446-47-6729,2,1,1,1,99.82,2,9.982,209.622,1,2,2019,18,9,1,199.64,4.761904762,9.982,6.7,0
489-64-4354,2,1,1,1,16.28,1,0.8140000000000001,17.094,3,9,2019,15,36,0,16.28,4.761904762,0.8140000000000001,5.0,0
815-11-1168,0,2,1,2,99.78,5,24.945,523.845,3,9,2019,19,9,0,498.9,4.761904762,24.945,5.4,1
239-10-7476,0,2,0,4,77.95,6,23.385,491.085,1,21,2019,16,37,2,467.7,4.761904762,23.385,8.0,0
301-81-8610,1,0,1,1,25.42,8,10.168,213.528,3,19,2019,19,42,1,203.36,4.761904762,10.168,6.7,1
390-31-6381,2,1,1,2,27.22,3,4.083,85.743,1,7,2019,12,37,0,81.66,4.761904762,4.083,7.3,0
597-78-7908,2,1,1,1,90.22,3,13.533,284.193,2,18,2019,19,39,0,270.66,4.761904762,13.533,6.2,0
891-01-7034,1,0,0,0,74.71,6,22.413,470.673,1,1,2019,19,7,0,448.26,4.761904762,22.413,6.7,0
548-46-9322,1,0,1,2,39.9,10,19.95,418.95,2,20,2019,15,24,1,399.0,4.761904762,19.95,5.9,0
145-94-9061,1,0,0,2,88.36,5,22.09,463.89,1,25,2019,19,48,0,441.8,4.761904762,22.09,9.6,0
471-06-8611,2,1,0,2,52.42,1,2.6210000000000004,55.041,2,6,2019,10,22,1,52.42,4.761904762,2.6210000000000004,6.3,0
641-43-2399,1,0,1,4,25.55,4,5.11,107.31,1,26,2019,20,23,2,102.2,4.761904762,5.11,5.7,0
394-41-0748,2,1,0,1,54.07,9,24.3315,510.9615,1,27,2019,14,55,2,486.63,4.761904762,24.3315,9.5,1
658-66-3967,2,1,1,3,53.19,7,18.6165,390.9465,1,14,2019,15,42,2,372.33,4.761904762,18.6165,5.0,0
105-31-1824,0,2,1,5,69.52,7,24.332,510.972,2,1,2019,15,10,1,486.64,4.761904762,24.332,8.5,1
186-79-9562,1,0,1,3,71.77,7,25.1195,527.5095,3,29,2019,14,6,0,502.39,4.761904762,25.1195,8.9,0
731-81-9469,2,1,0,5,89.8,10,44.9,942.9,1,23,2019,13,0,1,898.0,4.761904762,44.9,5.4,1
608-27-6295,1,0,1,0,52.89,6,15.867,333.207,1,19,2019,17,34,1,317.34,4.761904762,15.867,9.8,1
355-53-5943,0,2,0,0,68.84,6,20.652,433.692,2,25,2019,14,36,2,413.04,4.761904762,20.652,5.8,1
390-17-5806,2,1,0,2,38.42,1,1.921,40.341,2,2,2019,16,33,0,38.42,4.761904762,1.921,8.6,1
701-69-8742,1,0,1,5,34.37,10,17.185,360.885,3,16,2019,10,11,2,343.7,4.761904762,17.185,6.7,0
841-35-6630,2,1,0,0,75.91,6,22.773000000000003,478.233,3,9,2019,18,21,0,455.46,4.761904762,22.773000000000003,8.7,0
313-66-9943,1,0,0,2,29.15,3,4.3725,91.8225,3,27,2019,20,29,1,87.45,4.761904762,4.3725,7.3,1
674-56-6360,0,2,1,0,95.15,1,4.7575,99.9075,3,22,2019,14,0,0,95.15,4.761904762,4.7575,6.0,0
346-84-3103,1,0,0,0,13.22,5,3.305,69.405,3,2,2019,19,26,0,66.1,4.761904762,3.305,4.3,1
458-41-1477,2,1,0,3,46.26,6,13.878,291.438,3,8,2019,17,11,1,277.56,4.761904762,13.878,9.5,0
744-16-7898,1,0,0,4,97.37,10,48.685,1022.385,1,15,2019,13,48,1,973.7,4.761904762,48.685,4.9,0
157-13-5295,0,2,1,3,51.94,10,25.97,545.37,3,9,2019,18,24,2,519.4,4.761904762,25.97,6.5,1
239-36-3640,1,0,1,0,45.35,6,13.605,285.705,1,31,2019,13,44,2,272.1,4.761904762,13.605,6.1,0
887-42-0517,2,1,0,5,83.14,7,29.099,611.0790000000002,1,10,2019,10,31,1,581.98,4.761904762,29.099,6.6,0
277-63-2961,1,0,1,5,73.97,1,3.6985,77.6685,2,3,2019,15,53,1,73.97,4.761904762,3.6985,5.4,1
695-51-0018,1,0,0,5,34.84,4,6.968,146.328,2,10,2019,18,36,0,139.36,4.761904762,6.968,7.4,0
886-18-2897,0,2,0,2,56.56,5,14.14,296.94,3,22,2019,19,6,1,282.8,4.761904762,14.14,4.5,0
200-16-5952,2,1,1,2,65.65,2,6.565,137.865,1,17,2019,16,46,0,131.3,4.761904762,6.565,6.0,1
895-66-0685,1,0,1,2,18.08,3,2.712,56.952,3,5,2019,19,46,2,54.24,4.761904762,2.712,8.0,1
554-53-8700,2,1,1,4,56.11,2,5.6110000000000015,117.831,2,2,2019,10,11,0,112.22,4.761904762,5.6110000000000015,6.3,1
182-52-7000,0,2,0,5,27.04,4,5.408,113.568,1,1,2019,20,26,2,108.16,4.761904762,5.408,6.9,1
588-01-7461,2,1,0,2,33.98,9,15.291,321.111,3,24,2019,10,43,0,305.82,4.761904762,15.291,4.2,0
379-17-6588,2,1,1,1,59.61,10,29.805,625.905,3,14,2019,11,7,0,596.1,4.761904762,29.805,5.3,0
106-35-6779,0,2,1,4,44.34,2,4.434,93.114,3,27,2019,11,26,0,88.68,4.761904762,4.434,5.8,1
882-40-4577,0,2,1,5,67.26,4,13.452,282.492,1,19,2019,15,28,1,269.04,4.761904762,13.452,8.0,1
138-17-5109,0,2,0,4,89.21,9,40.1445,843.0345,1,15,2019,15,42,1,802.89,4.761904762,40.1445,6.5,1
406-46-7107,0,2,0,4,96.52,6,28.956,608.076,1,11,2019,11,52,0,579.12,4.761904762,28.956,4.5,0
727-02-1313,0,2,1,2,31.84,1,1.592,33.431999999999995,2,9,2019,13,22,0,31.84,4.761904762,1.592,7.7,1
549-59-1358,0,2,1,5,88.63,3,13.2945,279.1845,3,2,2019,17,36,2,265.89,4.761904762,13.2945,6.0,1
554-53-3790,1,0,1,5,37.02,6,11.106,233.226,3,22,2019,18,33,0,222.12,4.761904762,11.106,4.5,0
358-88-9262,2,1,0,2,87.48,6,26.244,551.124,2,1,2019,18,43,2,524.88,4.761904762,26.244,5.1,1
435-13-4908,0,2,1,1,86.68,8,34.672,728.112,1,24,2019,18,4,1,693.44,4.761904762,34.672,7.2,1
828-46-6863,0,2,1,2,98.53,6,29.559,620.739,1,23,2019,11,22,1,591.18,4.761904762,29.559,4.0,1
372-62-5264,2,1,0,2,52.6,9,23.67,497.07,1,16,2019,14,42,0,473.4,4.761904762,23.67,7.6,0
321-49-7382,1,0,1,5,88.31,1,4.4155,92.7255,2,15,2019,17,38,1,88.31,4.761904762,4.4155,5.2,1
633-09-3463,2,1,0,0,47.65,3,7.1475,150.0975,3,28,2019,12,58,1,142.95,4.761904762,7.1475,9.5,0
162-48-8011,0,2,0,2,44.59,5,11.1475,234.0975,2,10,2019,15,10,0,222.95,4.761904762,11.1475,8.5,1
862-17-9201,1,0,0,2,84.05,6,25.215,529.515,1,29,2019,10,48,1,504.3,4.761904762,25.215,7.7,0
425-85-2085,1,0,1,3,54.86,5,13.715,288.015,3,29,2019,16,48,2,274.3,4.761904762,13.715,9.8,1
246-55-6923,2,1,0,4,35.79,9,16.1055,338.2155,3,10,2019,15,6,1,322.11,4.761904762,16.1055,5.1,1
534-53-3526,0,2,0,5,94.76,4,18.952,397.992,2,11,2019,16,6,2,379.04,4.761904762,18.952,7.8,0
154-74-7179,1,0,1,5,54.45,1,2.7225,57.1725,2,26,2019,19,24,2,54.45,4.761904762,2.7225,7.9,0
832-51-6761,0,2,1,2,33.88,8,13.552,284.592,1,19,2019,20,29,2,271.04,4.761904762,13.552,9.6,0
786-94-2700,0,2,1,2,80.62,6,24.186,507.906,2,28,2019,20,18,0,483.72,4.761904762,24.186,9.1,1
370-96-0655,2,1,0,1,49.32,6,14.796,310.716,1,9,2019,13,46,2,295.92,4.761904762,14.796,7.1,0
